;U;Kx;Ky;X;Y;E;D;e;E
1;17;5;5;2,9;2,1;319000000;0,000021;0,0074385;319000000
2;15;5;5;2,5;2;275000000;0,00002;0,008217771;275000000
3;12;5;5;2;1,6;220000000;0,000016;0,008217771;220000000
4;9;5;5;1,5;1,2;165000000;0,000012;0,008217771;165000000
5;9;2;2;3,9;3;171600000;0,000012;0,007901703;171600000
6;8;2;2;3,4;2,6;149600000;0,0000104;0,007855222;149600000
7;7;2;2;3;2,2;132000000;0,0000088;0,007532957;132000000
8;6;2;2;2,5;1,7;110000000;0,0000068;0,006985105;110000000
9;4,6;2;2;2;1,1;88000000;0,0000044;0,005649718;88000000
10;3,4;2;2;1,5;0,6;66000000;0,0000024;0,004108885;66000000
11;3,4;1;1;3;1,2;66000000;0,0000024;0,004108885;66000000
12;2,8;1;1;2,5;0,8;55000000;0,0000016;0,003287108;55000000
13;2,2;1;1;1,9;0,5;41800000;0,000001;0,002703214;41800000
14;1,8;1;1;1,6;0,4;35200000;0,0000008;0,002568053;35200000
15;1,8;0,5;0,2;3,1;2,1;34100000;0,00000084;0,002783439;34100000
16;1,4;0,5;0,2;2,4;1,5;26400000;0,0000006;0,002568053;26400000
17;1,2;0,5;0,2;2;1,3;22000000;0,00000052;0,002670776;22000000
18;1,2;0,5;0,1;2;2,4;22000000;0,00000048;0,002465331;22000000
19;1;0,5;0,1;1,7;1,9;18700000;0,00000038;0,002296142;18700000
20;1;0,2;0,05;4;3,5;17600000;0,00000035;0,002247047;17600000
21;0,8;0,2;0,05;3,3;2,9;14520000;0,00000029;0,002256774;14520000
22;0,6;0,2;0,05;2,5;2,1;11000000;0,00000021;0,002157165;11000000
23;0,4;0,2;0,05;1,6;1,4;7040000;0,00000014;0,002247047;7040000
24;0,2;0,05;0,02;3,1;2,6;3410000;0,000000104;0,003446162;3410000
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
