U, В ;X, mV;Kx, В/дел ;H, A/м;Y, дел mV;Ky, В/дел;B, Тл;μ;α;pi;β;R1;R2;C1;S;L;N1;N2
19;1,54;0,2;96,68552036;0,376;0,1;0,127801816;1051,878845;313,9140271;3,141592654;3,398984459;68;470000;0,00000047;0,000067;0,078;1665;970
18,5;1,42;0,2;89,15158371;0,37;0,1;0,125762425;1122,566238;;;;;;;;;;
18;1,24;0,2;77,85067873;0,362;0,1;0,123043237;1257,724388;;;;;;;;;;
17,5;1,19;0,2;74,71153846;0,352;0,1;0,119644253;1274,366361;;;;;;;;;;
17;1,18;0,2;74,08371041;0,344;0,1;0,116925065;1255,957756;;;;;;;;;;
16,5;1,16;0,2;72,8280543;0,336;0,1;0,114205878;1247,900288;;;;;;;;;;
16;1,08;0,2;67,80542986;0,328;0,1;0,11148669;1308,424552;;;;;;;;;;
15,5;1,02;0,2;64,03846154;0,318;0,1;0,108087706;1343,153181;;;;;;;;;;
15;0,952;0,2;59,76923077;0,304;0,1;0,103329128;1375,736412;;;;;;;;;;
14,5;0,905;0,2;56,81843891;0,296;0,1;0,10060994;1409,09972;;;;;;;;;;
14;0,845;0,2;53,05147059;0,28;0,1;0,095171565;1427,578239;;;;;;;;;;
13,5;0,8;0,2;50,22624434;0,272;0,1;0,092452377;1464,797243;;;;;;;;;;
13;0,75;0,2;47,08710407;0,267;0,1;0,090752885;1533,728878;;;;;;;;;;
12,5;0,708;0,2;44,45022624;0,256;0,1;0,087014002;1557,777061;;;;;;;;;;
12;0,67;0,2;42,06447964;0,24;0,1;0,081575627;1543,245559;;;;;;;;;;
11,5;0,625;0,2;39,23925339;0,232;0,1;0,078856439;1599,213931;;;;;;;;;;
11;0,585;0,2;36,72794118;0,225;0,1;0,07647715;1657,010456;;;;;;;;;;
10,5;0,555;0,2;34,84445701;0,216;0,1;0,073418064;1676,715445;;;;;;;;;;
10;0,512;0,2;32,14479638;0,204;0,1;0,069339283;1716,559269;;;;;;;;;;
9,5;0,48;0,2;30,13574661;0,196;0,1;0,066620095;1759,192767;;;;;;;;;;
9;0,448;0,2;28,12669683;0,184;0,1;0,062541314;1769,450451;;;;;;;;;;
8,5;0,42;0,2;26,36877828;0,171;0,1;0,058122634;1754,063925;;;;;;;;;;
8;0,362;0,1;11,36368778;0,16;0,05;0,027191876;1904,188811;;;;;;;;;;
7,5;0,333;0,1;10,4533371;0,152;0,05;0,025832282;1966,518114;;;;;;;;;;
7;0,308;0,1;9,668552036;0,14;0,05;0,023792891;1958,285084;;;;;;;;;;
6,5;0,284;0,1;8,915158371;0,13;0,05;0,022093399;1972,075824;;;;;;;;;;
6;0,256;0,1;8,036199095;0,122;0,05;0,020733805;2053,139518;;;;;;;;;;
5,5;0,24;0,1;7,533936652;0,11;0,05;0,018694415;1974,604126;;;;;;;;;;
5;0,216;0,1;6,780542986;0,1;0,05;0,016994922;1994,549623;;;;;;;;;;
4,5;0,196;0,1;6,152714932;0,092;0,05;0,015635329;2022,229087;;;;;;;;;;
4;0,18;0,05;2,825226244;0,08;0,02;0,005438375;1531,81411;;;;;;;;;;
3,5;0,162;0,05;2,54270362;0,068;0,02;0,004622619;1446,713326;;;;;;;;;;
3;0,144;0,05;2,260180995;0,06;0,02;0,004078781;1436,075728;;;;;;;;;;
2,5;0,126;0,05;1,977658371;0,055;0,02;0,003738883;1504,460287;;;;;;;;;;
2;0,11;0,05;1,726527149;0,05;0,02;0,003398984;1566,628067;;;;;;;;;;
1,5;0,091;0,02;0,571323529;0,04;0,01;0,001359594;1893,726235;;;;;;;;;;
1;0,07;0,02;0,439479638;0,018;0,01;0,000611817;1107,829847;;;;;;;;;;
0,5;0,055;0,02;0,34530543;0,009;0,01;0,000305909;704,9826302;;;;;;;;;;
