с1 = ;0,000000022;L = ;0,01;+-10%
Rm;T;2U_i;2U_i+1;n
0;0,000728;6,72;0,4;8
10;0,00073;6,64;0,32;8
20;0,00073;6,4;0,24;8
30;0,00064;6,32;0,24;7
40;0,000548;6,08;0,24;6
50;0,00055;6;0,24;6
60;0,000456;5,92;0,24;5
70;0,000456;5,68;0,24;5
80;0,000366;5,6;0,32;4
90;0,000366;5,52;0,24;4
100;0,000276;5,28;0,4;3
200;0,000187;4,16;0,24;2
300;0,000093;3,12;0,56;1
400;0,000093;2,4;0,24;1
с2 = ;0,000000033;L = ;0,01;+-10%
Rm;T;2U_i;2U_i+1;n
0;0,00089;6,64;0,32;8
10;0,00078;6,4;0,32;7
20;0,00078;6,32;0,24;7
30;0,000666;6,08;0,24;6
40;0,000558;5,92;0,32;5
50;0,000446;5,68;0,4;4
60;0,000446;5,6;0,32;4
70;0,00045;5,36;0,24;4
80;0,000336;5,28;0,4;3
90;0,000338;5,04;0,32;3
100;0,000339;4,96;0,32;3
200;0,000234;3,6;0,16;2
300;0,000117;2,56;0,32;1
400;0,000117;1,76;0,16;1
с3 = ;0,000000047;L = ;0,01;+-10%
Rm;T;2U_i;2U_i+1;n
0;0,00091;6,32;0,24;7
10;0,00091;6,08;0,16;7
20;0,000782;5,92;0,24;6
30;0,000656;5,68;0,24;5
40;0,000524;5,52;0,32;4
50;0,000524;5,28;0,24;4
60;0,000398;5,04;0,32;3
70;0,000398;4,96;0,24;3
80;0,000398;4,8;0,24;3
90;0,000262;4,56;0,56;2
100;0,000262;4,48;0,4;2
200;0,000136;3,12;0,4;1
300;0,000138;2,08;0,16;1
400;0,000138;1,28;0;1
с4 = ;0,00000047;L = ;0,01;+-10%
Rm;T;2U_i;2U_i+1;n
0;0,00127;2,04;0,1;3
10;0,00087;1,82;0,1;2
20;0,00087;1,48;0,08;2
30;0,00087;1,42;0,08;2
40;0,00089;1,36;0,16;2
50;0,00089;1,2;0,16;2
60;0,000464;1,08;0,2;1
70;0,000464;0,94;0,08;1
80;0,000464;0,82;0,16;1
90;0,000464;0,72;0,16;1
100;0,000238;0,58;0,06;0,5
190;критическое;;;
