Rm_ohm,T_s,U2_i_div,U2_i_plus_n_div,n,T_period_s,lambda,Q,R_total_ohm,L_h
0.0,0.000728,6.72,0.4,8.0,9.1e-05,0.3526723608011516,8.907963885951151,64.76629086901984,0.007322807675612486
10.0,0.00073,6.64,0.32,8.0,9.125e-05,0.37906828083458843,8.287669563575722,74.76629086901984,0.008446936062530781
20.0,0.00073,6.4,0.24,8.0,9.125e-05,0.4104267932507215,7.654453133303744,84.76629086901984,0.009261842204771586
30.0,0.00064,6.32,0.24,7.0,9.142857142857143e-05,0.4672622233998446,6.723403896705505,94.76629086901984,0.008931180146541018
40.0,0.000548,6.08,0.24,6.0,9.133333333333334e-05,0.5386868419363703,5.831946149449253,104.76629086901984,0.008212829902004035
50.0,0.00055,6.0,0.24,6.0,9.166666666666667e-05,0.5364793041447001,5.855943797493514,114.76629086901984,0.009936768510033962
60.0,0.000456,5.92,0.24,5.0,9.120000000000001e-05,0.6410905609072121,4.900388252705049,124.76629086901984,0.008223906983769048
70.0,0.000456,5.68,0.24,5.0,9.120000000000001e-05,0.6328135176746412,4.964484110791438,134.76629086901983,0.00984766989358893
80.0,0.000366,5.6,0.32,4.0,9.15e-05,0.7155502202323671,4.390457252000559,144.76629086901983,0.008887448175549513
90.0,0.000366,5.52,0.24,4.0,9.15e-05,0.7838735539822874,4.0077798742280075,154.76629086901983,0.008464146073178136
100.0,0.000276,5.28,0.4,3.0,9.2e-05,0.860072276530775,3.6527077308686873,164.76629086901983,0.007968732692064842
200.0,0.000187,4.16,0.24,2.0,9.35e-05,1.426315714956659,2.2025927504313136,264.7662908690198,
300.0,9.3e-05,3.12,0.56,1.0,9.3e-05,1.717651497074333,1.8290046956212316,364.7662908690198,
400.0,9.3e-05,2.4,0.24,1.0,9.3e-05,2.302585092994046,1.3643763538418412,464.7662908690198,
