Rm_ohm,T_s,U2_i_div,U2_i_plus_n_div,n,T_period_s,lambda,Q
0.0,0.00127,2.04,0.1,3.0,0.00042333333333333334,1.0051783002833903,3.1254083506419534
10.0,0.00087,1.82,0.1,2.0,0.000435,1.4507107970413748,2.165554058049927
20.0,0.00087,1.48,0.08,2.0,0.000435,1.4588853660421395,2.153419814000005
30.0,0.00087,1.42,0.08,2.0,0.000435,1.4381927579607123,2.184403054597785
40.0,0.00089,1.36,0.16,2.0,0.000445,1.0700330817481354,2.9359771274148905
50.0,0.00089,1.2,0.16,2.0,0.000445,1.0074515102711323,3.1183561904079196
60.0,0.000464,1.08,0.2,1.0,0.000464,1.6863989535702288,1.8629000254885202
70.0,0.000464,0.94,0.08,1.0,0.000464,2.4638532405901676,1.2750729636953888
80.0,0.000464,0.82,0.16,1.0,0.000464,1.634130525024472,1.9224857534209185
90.0,0.000464,0.72,0.16,1.0,0.000464,1.5040773967762742,2.0887174159542887
100.0,0.000238,0.58,0.06,0.5,0.000476,4.537367082636728,0.6923822993320984
