alpha_raw_deg,i1_mA,i2_mA,i_avg_mA,alpha_deg,bc_uT,gamma
240,25.0,24.7,25.0,10.0,14.986271426220219,0.3472963553338607
230,30.0,28.8,30.0,20.0,17.98352571146426,0.5320888862379559
220,31.7,29.1,30.4,30.0,18.223306054283785,0.6527036446661393
210,33.4,31.6,31.6,40.0,18.942647082742358,0.742227198968559
200,35.3,32.6,32.6,50.0,19.542097939791166,0.8152074690959046
190,35.2,33.2,33.2,60.0,19.90176845402045,0.8793852415718167
180,35.2,34.2,34.2,70.0,20.50121931106926,0.9396926207859083
170,36.6,35.6,35.6,80.0,21.34045051093759,1.0
160,37.1,36.3,36.3,90.0,21.760066110871758,1.0641777724759123
150,38.4,37.6,37.6,100.0,22.53935222503521,1.1371580426032577
140,40.5,38.8,38.8,110.0,23.258693253493774,1.2266815969056775
130,41.0,41.0,41.0,120.0,24.57748513900116,1.347296355333861
120,43.9,43.6,43.6,130.0,26.136057367328064,1.5320888862379562
110,47.9,47.5,47.5,140.0,28.473915709818414,1.8793852415718173
