i,x,y
1,17.000000,100.000000
2,23.000000,1144.000000
3,25.000000,368.000000
4,26.000000,465.000000
5,26.000000,318.000000
6,29.000000,132.000000
7,29.000000,269.000000
8,35.000000,370.000000
9,38.000000,510.000000
10,38.000000,116.000000
11,48.000000,214.000000
12,50.000000,71.000000
13,50.000000,80.000000
14,50.000000,45.000000
15,50.000000,40.000000
16,50.000000,52.000000
17,50.000000,36.000000
18,50.000000,20.000000
19,56.000000,106.000000
20,56.000000,17.000000
21,59.000000,188.000000
22,60.000000,93.000000
23,70.000000,75.000000
24,75.000000,144.000000
25,75.000000,144.000000
26,90.000000,17.000000
27,98.000000,46.000000
28,100.000000,16.000000
29,105.000000,58.000000
30,110.000000,76.000000
31,112.000000,8.000000
32,115.000000,50.000000
33,125.000000,198.000000
34,133.000000,72.000000
35,140.000000,189.000000
36,140.000000,35.000000
37,143.000000,61.000000
38,143.000000,30.000000
39,160.000000,30.000000
40,167.000000,19.000000
41,180.000000,18.000000
42,180.000000,84.000000
43,200.000000,25.000000
44,200.000000,41.000000
45,225.000000,24.000000
46,240.000000,6.000000
47,250.000000,50.000000
48,300.000000,36.000000
49,300.000000,36.000000
50,320.000000,23.000000
51,320.000000,40.000000
52,330.000000,16.000000
53,400.000000,38.000000
54,480.000000,67.000000
55,700.000000,24.000000
56,800.000000,20.000000
57,800.000000,12.000000
58,900.000000,37.000000
59,900.000000,22.000000
60,1500.000000,12.000000
