['R01010', 36]
['R01020A', 944]
['R01035', 826]
['R01060', 51]
['R01090B', 933]
['R01100', 975]
['R01115', 986]
['R01135', 348]
['R01150', 704]
['R01200', 344]
['R01210', 981]
['R01215', 208]
['R01230', 784]
['R01235', 840]
['R01239', 978]
['R01240', 818]
['R01270', 356]
['R01280', 360]
['R01335', 398]
['R01350', 124]
['R01355', 634]
['R01370', 417]
['R01375', 156]
['R01500', 498]
['R01530', 554]
['R01535', 578]
['R01565', 985]
['R01585F', 946]
['R01589', 960]
['R01625', 702]
['R01670', 972]
['R01675', 764]
['R01700J', 949]
['R01710A', 934]
['R01717', 860]
['R01720', 980]
['R01760', 203]
['R01770', 752]
['R01775', 756]
['R01805F', 941]
['R01810', 710]
['R01815', 410]
['R01820', 392]
