match_id,season,match_date,match_time,matchday,matchday_name,home_team_id,home_team,away_team_id,away_team,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,total_goals,winner,venue_stadium,venue_city,match_finished,is_outlier_goals
58577,2020,2020-09-18,18:30,1,1. Spieltag,40,FC Bayern München,9,FC Schalke 04,3,0,8,0,8,home,,München,True,False
58579,2020,2020-09-19,13:30,1,1. Spieltag,91,Eintracht Frankfurt,83,DSC Arminia Bielefeld,0,0,1,1,2,draw,,Frankfurt,True,False
58580,2020,2020-09-19,13:30,1,1. Spieltag,65,1. FC Köln,175,TSG Hoffenheim,1,2,2,3,5,away,,Köln,True,False
58582,2020,2020-09-19,13:30,1,1. Spieltag,16,VfB Stuttgart,112,SC Freiburg,0,2,2,3,5,away,,Stuttgart,True,False
58583,2020,2020-09-19,13:30,1,1. Spieltag,80,1. FC Union Berlin,95,FC Augsburg,0,1,1,3,4,away,,Berlin,True,False
58584,2020,2020-09-19,13:30,1,1. Spieltag,134,SV Werder Bremen,54,Hertha BSC,0,1,1,4,5,away,,Bremen,True,False
58578,2020,2020-09-19,16:30,1,1. Spieltag,7,Borussia Dortmund,87,Borussia Mönchengladbach,1,0,3,0,3,home,,Dortmund,True,False
58581,2020,2020-09-20,13:30,1,1. Spieltag,1635,RB Leipzig,81,1. FSV Mainz 05,2,0,3,1,4,home,,Leipzig,True,False
58585,2020,2020-09-20,16:00,1,1. Spieltag,131,VfL Wolfsburg,6,Bayer 04 Leverkusen,0,0,0,0,0,draw,,Wolfsburg,True,False
58591,2020,2020-09-25,18:30,2,2. Spieltag,54,Hertha BSC,91,Eintracht Frankfurt,0,2,1,3,4,away,,Berlin,True,False
58586,2020,2020-09-26,13:30,2,2. Spieltag,83,DSC Arminia Bielefeld,65,1. FC Köln,0,0,1,0,1,home,,Bielefeld,True,False
58587,2020,2020-09-26,13:30,2,2. Spieltag,95,FC Augsburg,7,Borussia Dortmund,1,0,2,0,2,home,,Augsburg,True,False
58588,2020,2020-09-26,13:30,2,2. Spieltag,6,Bayer 04 Leverkusen,1635,RB Leipzig,1,1,1,1,2,draw,,Leverkusen,True,False
